
Rmag	          Bmag	  (B-R)	Speak	Sint
1.222456337	1.242292905	0.78	4.16	3.71
1.240549248	1.265289626	1.02	15.55	21.48
1.206825876	1.228143608	0.81	10.56	12.25
1.232233521	1.248953615	0.66	192.1	195.64
1.244524512	1.255272505	0.44	7.38	7.31
1.245265839	1.264345507	0.79	17.22	20.99
1.212986185	1.232487866	0.75	1.52	0.99
1.232233521	1.258876629	1.08	10.48	10.15
1.23350376	1.243286146	0.38	22.21	23.56
1.196176185	1.205745541	0.35	4.45	3.77
1.245265839	1.263162465	0.75	4.46	4.52
1.236285277	1.256958153	0.84	32.19	33.45
1.236537261	1.255513713	0.77	1.2	1.1
1.236537261	1.252124553	0.64	1.72	1.81
1.246498581	1.256477206	0.41	1.99	2.13
1.248708736	1.258158193	0.38	17.23	17.77
1.216693599	1.232487866	0.61	243.42	245.97
1.235528447	1.240798771	0.2	1.2	1.53
1.229169703	1.25139485	0.89	43.27	44.12
1.180985581	1.200303183	0.7	43.92	44.72
1.223495941	1.23299611	0.38	2.48	2.44
1.242789809	1.261500773	0.77	7.53	7.22
1.24674471	1.266231697	0.81	7.07	7.3
1.250420002	1.26927939	0.79	473.47	614.98
1.243534102	1.254789687	0.46	22.35	23.51
1.247482261	1.248708736	0.05	8.73	8.43
1.219322508	1.230959556	0.45	2.62	1.81
1.236285277	1.261024834	1.01	101.01	102.01
1.203848464	1.254548077	1.99	1.54	2.73
1.242789809	1.273464273	1.27	99.39	100.53
1.240549248	1.2757719	1.47	4.89	4.41
1.228913406	1.245759356	0.67	1.31	0.84
1.239299479	1.252610341	0.54	1.55	0.89
1.23146959	1.249442961	0.72	1.75	1.07
1.231979027	1.259354927	1.11	46.87	46.94
1.24723655	1.268577972	0.88	1.4	1.24
1.232233521	1.253338005	0.85	16.32	22.46
1.242541428	1.267640982	1.03	6.48	6.19
1.218010043	1.260786669	1.72	6826.39	6999.01
1.22762965	1.236285277	0.34	14777.96	15023.95
1.238547888	1.259354927	0.84	6.61	6.8
1.23578087	1.245759356	0.4	16.63	17.5
1.239299479	1.255995727	0.67	15.26	16.09
1.235528447	1.26245109	1.1	2.47	1.95
1.226342087	1.25139485	1	13.17	13.31
1.237040791	1.249931757	0.52	21.27	22.39
0.908485019	0.962369336	1.07	1.68	2.47
1.234010818	1.273232834	1.62	1.33	1.61
1.230193379	1.244771761	0.58	17.89	18.99
1.246005904	1.259354927	0.54	52.49	57.42
1.212720154	1.223495941	0.41	24.5	25.42
1.244771761	1.257438567	0.53	65.57	68.41
1.208978517	1.225567713	0.63	217.37	246.65
1.242044239	1.258637283	0.69	11.51	11
1.244277121	1.251881455	0.31	13.9	14.62
1.240299582	1.251151343	0.44	1.19	0.67
1.24723655	1.263872677	0.69	845.79	853.81
1.248953615	1.273001272	1.01	17.2	18.7
1.247973266	1.267640982	0.82	1.24	1.37
1.244029589	1.282622113	1.63	1.11	1.99
1.198106999	1.21031852	0.45	15.42	15.88
1.243286146	1.24723655	0.16	72.45	78.07
1.242789809	1.251151343	0.34	22.49	23.53
1.243286146	1.238046103	-0.2	77.34	123.44
1.167317335	1.187802639	0.71	1.7	1.57
1.235528447	1.248463718	0.52	22.35	23.63
1.246252312	1.256717746	0.42	16.36	16.38
1.237040791	1.259115844	0.9	1.74	1.54
1.21031852	1.22297645	0.48	23.47	24.31
1.237040791	1.254789687	0.72	44.2	45.04
1.247727833	1.273232834	1.07	1.82	1.17
1.239299479	1.26904571	1.23	1.55	2.02
1.231979027	1.244771761	0.52	2.15	2.1
1.249687428	1.25163822	0.09	1.18	2.2
1.206286044	1.224791956	0.71	1.04	1.5
1.233757363	1.272073788	1.57	1.02	1.23
1.229937686	1.237040791	0.28	5.21	4.91
1.186673867	1.198106999	0.42	1.19	0.75
1.235275877	1.239049093	0.15	1.18	0.74
1.208441356	1.234517284	1	67.51	67.69
1.231214648	1.265760917	1.41	2.91	2.87
1.238046103	1.278753601	1.69	3.34	3.21
1.183554534	1.219584526	1.32	3.59	3.02
1.186956335	1.194236749	0.27	8.85	9.19
1.24723655	1.243286146	-0.16	4	4.09
1.218535505	1.240549248	0.86	71.17	72.31
1.245512668	1.264817823	0.8	17.79	18.74
1.241297387	1.263162465	0.9	406.3	409.69
1.247727833	1.265760917	0.76	2.94	2.6
1.248708736	1.268811904	0.84	29.33	30.53
1.243286146	1.25358029	0.42	43.26	48.27
1.242789809	1.248463718	0.23	1.02	2.61
1.203576775	1.214048679	0.39	1.73	1.25
1.20709554	1.212187604	0.19	7.39	7.37
1.231979027	1.261976191	1.23	1.17	0.99
1.224791956	1.261024834	1.47	1.27	1.17
1.248708736	1.272769587	1.02	94.32	97.91
1.224274014	1.227115083	0.11	4.73	5.21
1.23299611	1.243286146	0.41	46.79	48.74
1.234010818	1.242292905	0.32	412.83	425.66
0.860338007	0.923244019	1.13	2.53	6.41
1.213252052	1.219584526	0.24	8.71	8.16
1.231979027	1.246498581	0.58	121.14	320.88
1.231724383	1.249931757	0.73	26.26	26.66
1.231214648	1.242789809	0.46	1.03	0.77
1.24674471	1.280805928	1.44	21.6	22.55
1.247482261	1.27989498	1.37	2.58	2.98
1.19838213	1.19838213	0	42.72	44.67
1.246498581	1.264109156	0.72	1.79	1.94
1.244029589	1.248708736	0.2	6.82	6.75
1.233757363	1.260071388	1.07	359.79	382.67
1.240798771	1.258397804	0.72	1.33	1.26
1.194791758	1.220892249	0.97	207.87	210.04
1.220892249	1.23146959	0.42	88.27	91.21
1.235528447	1.267640982	1.31	4.56	4.07
1.215637563	1.224274014	0.33	1.22	0.65
1.239299479	1.256717746	0.71	257.11	261.66
1.232233521	1.259832699	1.12	1.94	1.83
1.230704314	1.266231697	1.45	1.43	1.67
1.246498581	1.26927939	0.96	7.84	9.45
1.242789809	1.242044239	-0.02	34.25	35.08
1.249198357	1.256477206	0.29	60.37	60.32
1.242789809	1.248218561	0.22	16.53	53.48
1.248953615	1.272537777	0.99	1.01	0.74
1.248953615	1.271609301	0.95	4.2	4.2
1.245512668	1.259593879	0.59	22.48	24.27
1.231214648	1.235023159	0.15	54.22	56.71
1.248708736	1.261738547	0.54	5.71	5.44
1.23146959	1.242044239	0.41	42.49	44.44
1.242789809	1.263399331	0.85	11.95	11.83
1.227372442	1.239049093	0.45	14.02	14.44
1.174641193	1.205745541	1.11	1.44	1.48
1.246990699	1.274388796	1.16	10.19	10.6
1.226342087	1.251881455	1.02	14.23	14.31
1.248218561	1.269746373	0.9	3.28	4.86
1.237543738	1.278753601	1.72	4.41	4.17
1.208172527	1.219846386	0.44	1.8	1.41
1.221153322	1.226599905	0.21	1.64	1.22
1.247482261	1.254548077	0.29	20.94	21.73
1.230704314	1.23325001	0.1	7.22	11.57
1.242789809	1.24723655	0.18	2.24	1.82
1.240549248	1.260071388	0.8	17.67	17.81
1.205475037	1.232487866	1.03	8.3	8.6
1.231979027	1.248708736	0.67	63.29	65.05
1.192567453	1.187802639	-0.18	48.97	70.99
1.23325001	1.246990699	0.56	1.39	0.84
1.247482261	1.264817823	0.72	73.77	75.96
1.217747073	1.235528447	0.7	2.08	1.99
1.239799818	1.265053789	1.04	1.67	1.83
1.202215776	1.228656958	1	3.75	4.07
1.23350376	1.250175948	0.66	104.19	122.19
1.227115083	1.242541428	0.61	1.4	1.22
1.221414238	1.219060332	-0.09	1.13	0.78
1.225567713	1.244029589	0.73	28.91	29.62
1.212453961	1.204662512	-0.29	19.26	22.52
1.227372442	1.239799818	0.49	2.28	2.28
1.243286146	1.256958153	0.55	7.81	8.18
1.226084116	1.214048679	-0.46	11.33	11.13
1.232233521	1.24723655	0.6	2.01	1.56
1.234770295	1.248953615	0.57	5.27	5.58
1.218272854	1.236789099	0.71	1.67	1.56
1.230959556	1.242292905	0.45	1.22	0.54
1.221153322	1.239049093	0.7	17.67	18.28
1.241297387	1.250175948	0.36	21.79	22.41
1.236537261	1.246498581	0.41	15.24	15.24
1.243038049	1.256717746	0.55	1.54	1.35
1.248953615	1.258397804	0.39	1.58	1.81
1.213252052	1.236285277	0.89	3.24	2.75
1.234010818	1.259115844	1.02	210.79	213.88
1.242541428	1.258397804	0.65	602.99	628.57
1.217483944	1.209246849	-0.31	14.71	15.93
1.24723655	1.280350693	1.4	6.73	6.26
1.246005904	1.261976191	0.66	140.94	141.51
1.241546481	1.25163822	0.42	1.78	1.16
1.248463718	1.251881455	0.14	48.4	51.57
1.249931757	1.269979677	0.83	35.73	40.54
1.24674471	1.263872677	0.7	1.27	0.68
1.232742063	1.25358029	0.85	40.04	41.22
1.241546481	1.256717746	0.63	1.73	1.37
1.238046103	1.237794993	-0.01	1.02	1.32
1.236789099	1.254306332	0.7	68.79	73.24
1.244524512	1.265525335	0.87	77.06	85.98
1.249931757	1.256477206	0.27	73.78	78.95
1.227115083	1.259354927	1.3	142.96	144.89
1.239299479	1.259832699	0.84	15.87	17.83
1.247973266	1.265525335	0.73	1.23	1.39
1.239549721	1.255754787	0.65	53.69	54.18
1.237040791	1.26927939	1.34	1.26	0.74
1.240299582	1.249442961	0.37	1.04	0.84
1.247727833	1.261262869	0.56	1.63	1.65
1.15715444	1.189490314	1.11	6.86	6.21
1.244524512	1.261738547	0.7	1	2.04
1.246252312	1.273232834	1.12	1.69	1.9
1.249687428	1.269512944	0.82	1.1	1.06
1.24723655	1.252853031	0.23	3532.04	3605.54
1.238798563	1.282395505	1.83	2.22	1.31
1.217483944	1.242541428	0.97	4.55	4.33
1.206286044	1.221153322	0.56	49.26	51.11
1.249687428	1.2757719	1.1	253.09	256.59
1.243038049	1.268343914	1.05	27.18	28.3
1.212986185	1.241297387	1.1	66.82	67.58
1.220892249	1.25139485	1.21	1.18	1.23
1.238046103	1.251151343	0.53	1.36	0.91
1.223495941	1.229169703	0.22	1.65	1.04
1.238297068	1.249198357	0.44	8.63	8.66
1.213252052	1.233757363	0.79	3.23	2.98
1.249198357	1.258397804	0.38	259.58	266.83
1.245018871	1.260548373	0.64	132.32	144.52
1.225050696	1.224274014	-0.04	10.12	9.69
1.228656958	1.247727833	0.76	5.34	5.42
1.247973266	1.255754787	0.31	2.65	2.43
1.247973266	1.255031163	0.3	11.97	11.94
1.245512668	1.240299582	-0.21	20	21.73
1.245759356	1.261262869	0.64	9.95	10.14
1.242292905	1.249687428	0.3	301.88	314.48
1.242044239	1.255513713	0.55	5.56	5.32
1.193124598	1.220108088	1	41.29	54.38
1.18610838	1.203304916	0.62	3.62	3.44
1.243038049	1.253822439	0.44	1.42	0.93
1.229937686	1.238297068	0.32	1.79	2.07
